seed_url,url,title
https://www.blacksburg.gov/home,https://www.blacksburg.gov/home,"blacksburg, va | home"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/parks-and-recreation/greenways,"parks and trails | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/related-links/facilities-and-parks-directory,"facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.golfthehill.com/,"blacksburg muni gc – blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/50/2512,"dog park | facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/community-center,"community center | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/aquatic-center,"aquatic center | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/active-adults,"active adults activities | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/programs,"programs | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/privacy-policy-and-disclaimer,"privacy policy and disclaimer | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/link-policy-and-disclaimer,"link policy and disclaimer | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/site-map,"site map | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/Calendar/Event/68347/321?backlist=%2fhome,"blacksburg farmers market | calendar | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/Calendar/Event/68252/321?backlist=%2fhome,"town council meeting | calendar | blacksburg, va"
https://www.blacksburg.gov/home,https://library.municode.com/va/blacksburg/codes/code_of_ordinances,"code of ordinances | blacksburg, va | municode library"
