url,title,domain,status
https://commons.wikimedia.org/wiki/File:The_Photographer_User_in_Humboldt_Peak.jpg,file:the photographer user in humboldt peak.jpg - wikimedia commons,commons.wikimedia.org,200
https://en.wikipedia.org/wiki/1_(New_York_City_Subway_service),1 (new york city subway service) - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/Category:Luxembourgian_news_websites,category:luxembourgian news websites - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/Category:Cambodian_news_websites,category:cambodian news websites - wikipedia,en.wikipedia.org,200
https://web.archive.org/web/20161208213646/http://mjinews.com/humboldt-state-university-surveying-marijuana-businesses-in-california/,humboldt state university surveying marijuana businesses in california | mji news,web.archive.org,200
https://web.archive.org/web/20190507234749/https://mailchi.mp/cnn/rs-mar-29-2019,weekend planner; big tech's troubles; youtube's rabbit holes; nyt responds to trump; final adam moss edition of nymag; svu milestone; 'dumbo' weekend,web.archive.org,200
https://www.cityandstateny.com/policy/2024/04/company-behind-gun-detection-tech-previewed-subway-faces-multiple-lawsuits-and-federal-investigations/395394/,company behind gun detection tech previewed in subway faces multiple lawsuits and federal investigations - city & state new york,www.cityandstateny.com,200
https://en.wikipedia.org/wiki/Rumbo_(newspaper),rumbo (newspaper) - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/Jamboard,jamboard - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/DreamBooth,dreambooth - wikipedia,en.wikipedia.org,200
http://web.archive.org/web/20250703201039/https://www.tearline.mil/public_page/north-korea-tourism,north korea's tourism industry: a grand initiative in limbo,web.archive.org,200
https://en.wikipedia.org/wiki/Help:Musical_symbols,help:musical symbols - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/File:Symbol_start_class.svg,file:symbol start class.svg - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/File:Symbol_b_class.svg,file:symbol b class.svg - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/File:Symbol_c_class.svg,file:symbol c class.svg - wikipedia,en.wikipedia.org,200
https://bambots.toolforge.org/cwb/bycat/United_States.html,,bambots.toolforge.org,200
https://en.wikipedia.org/wiki/2003_Subway_400,2003 subway 400 - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/2006_Subway_500,2006 subway 500 - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/National_symbols_of_the_United_States,national symbols of the united states - wikipedia,en.wikipedia.org,200
https://cbk-zam.wikipedia.org/wiki/Ayuda:Ayuda,ayuda:ayuda - chavacano de zamboanga wikipedia - el libre enciclopedia,cbk-zam.wikipedia.org,200
https://en.wikipedia.org/wiki/Wikipedia:Meetup/Zamboanga_1,wikipedia:meetup/zamboanga 1 - wikipedia,en.wikipedia.org,200
https://gor.wikipedia.org/wiki/Wikipedia:B%C5%ABbu%27a_l%C4%93mbo%27a,wikipedia:būbu'a lēmbo'a - wikipedia,gor.wikipedia.org,200
https://cbk-zam.wikipedia.org/wiki/Wikipedia:Portal_del_Comunidad,wikipedia:portal del comunidad - chavacano de zamboanga wikipedia - el libre enciclopedia,cbk-zam.wikipedia.org,200
https://en.wikipedia.org/wiki/2025_in_Luxembourg,2025 in luxembourg - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/2025_in_Cambodia,2025 in cambodia - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/Cambodia%E2%80%93Thailand_border_dispute,cambodia–thailand border dispute - wikipedia,en.wikipedia.org,200
https://apnews.com/article/thailand-cambodia-border-conflict-rockets-4b3426dffcf3bf037d307038a23afd3a,thailand says cambodian rocket fire has caused its first civilian death in new border fighting | ap news,apnews.com,200
https://en.wikipedia.org/wiki/Royal_Cambodian_Armed_Forces,royal cambodian armed forces - wikipedia,en.wikipedia.org,200
https://www.aljazeera.com/news/2025/12/18/cambodia-says-thailand-bombs-casino-hub-on-border-with-no-truce-in-sight,"cambodia says thailand bombed casino hub on border, with no truce in sight | conflict news | al jazeera",www.aljazeera.com,200
https://en.wikipedia.org/wiki/Cambodia%E2%80%93Thailand_border,cambodia–thailand border - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/Cambodia,cambodia - wikipedia,en.wikipedia.org,200
https://en.wikipedia.org/wiki/2025_Cambodia%E2%80%93Thailand_conflict,2025 cambodia–thailand conflict - wikipedia,en.wikipedia.org,200
https://www.oregon.gov/oha/PH/About/Pages/ophab.aspx,"
	oregon health authority : public health advisory board (phab) : about the public health division : state of oregon
",www.oregon.gov,200
https://healthy.arkansas.gov/boards-commissions/committees/drinking-water-advisory-water-operator-licensing-committee/,drinking-water advisory & water operator licensing committee - arkansas department of health,healthy.arkansas.gov,200
